idciudad,Ciudad,idsexo,sexo,edad,Cantidad
1,Chuquisaca,1,Masculino,57,44
3,Cochabamba,2,Femenino,40,298
4,Oruro,1,Masculino,41,61
3,Cochabamba,1,Masculino,99,2
7,Santa Cruz,2,Femenino,81,94
2,La Paz,1,Masculino,46,279
2,La Paz,1,Masculino,23,479
9,Pando,2,Femenino,41,22
3,Cochabamba,2,Femenino,43,258
1,Chuquisaca,1,Masculino,37,98
3,Cochabamba,1,Masculino,79,50
2,La Paz,1,Masculino,26,1009
3,Cochabamba,2,Femenino,46,192
3,Cochabamba,1,Masculino,105,1
7,Santa Cruz,2,Femenino,107,1
4,Oruro,1,Masculino,93,8
6,Tarija,1,Masculino,49,100
2,La Paz,1,Masculino,55,177
4,Oruro,2,Femenino,37,72
4,Oruro,1,Masculino,96,5
9,Pando,2,Femenino,93,2
5,Potosí,2,Femenino,92,80
7,Santa Cruz,2,Femenino,110,1
6,Tarija,1,Masculino,75,56
2,La Paz,1,Masculino,52,234
4,Oruro,2,Femenino,34,70
1,Chuquisaca,1,Masculino,31,240
4,Oruro,1,Masculino,70,3
6,Tarija,1,Masculino,72,41
2,La Paz,1,Masculino,78,62
1,Chuquisaca,1,Masculino,28,297
3,Cochabamba,2,Femenino,72,75
9,Pando,2,Femenino,70,1
6,Tarija,1,Masculino,52,114
4,Oruro,2,Femenino,40,54
5,Potosí,2,Femenino,95,41
6,Tarija,1,Masculino,78,61
5,Potosí,2,Femenino,28,188
1,Chuquisaca,1,Masculino,95,11
3,Cochabamba,2,Femenino,78,125
6,Tarija,2,Femenino,48,74
9,Pando,1,Masculino,42,49
1,Chuquisaca,2,Femenino,56,55
5,Potosí,1,Masculino,87,51
1,Chuquisaca,1,Masculino,92,15
6,Tarija,1,Masculino,81,73
6,Tarija,2,Femenino,45,113
4,Oruro,2,Femenino,63,1
8,Beni,2,Femenino,72,12
3,Cochabamba,2,Femenino,98,28
5,Potosí,1,Masculino,90,64
1,Chuquisaca,2,Femenino,59,44
6,Tarija,2,Femenino,42,89
1,Chuquisaca,1,Masculino,89,37
8,Beni,2,Femenino,75,10
4,Oruro,1,Masculino,102,2
3,Cochabamba,2,Femenino,101,8
8,Beni,1,Masculino,105,1
1,Chuquisaca,2,Femenino,33,143
6,Tarija,1,Masculino,104,1
5,Potosí,2,Femenino,31,154
5,Potosí,2,Femenino,34,133
3,Cochabamba,2,Femenino,75,87
1,Chuquisaca,2,Femenino,36,108
4,Oruro,2,Femenino,95,9
9,Pando,2,Femenino,32,36
9,Pando,1,Masculino,71,1
1,Chuquisaca,1,Masculino,60,2
6,Tarija,2,Femenino,77,86
5,Potosí,2,Femenino,57,81
1,Chuquisaca,2,Femenino,27,198
1,Chuquisaca,1,Masculino,63,1
6,Tarija,2,Femenino,74,91
9,Pando,2,Femenino,35,36
9,Pando,2,Femenino,38,28
5,Potosí,1,Masculino,96,17
1,Chuquisaca,2,Femenino,30,218
5,Potosí,1,Masculino,93,31
6,Tarija,2,Femenino,71,49
8,Beni,2,Femenino,101,1
4,Oruro,2,Femenino,92,15
3,Cochabamba,2,Femenino,104,3
6,Tarija,2,Femenino,51,69
8,Beni,2,Femenino,98,6
3,Cochabamba,2,Femenino,107,1
6,Tarija,2,Femenino,80,113
8,Beni,2,Femenino,37,105
2,La Paz,2,Femenino,106,1
5,Potosí,1,Masculino,29,275
1,Chuquisaca,2,Femenino,94,28
2,La Paz,2,Femenino,80,157
7,Santa Cruz,1,Masculino,47,595
4,Oruro,2,Femenino,98,4
