idciudadvotacion,NombreCiudad,idProvincia,NombreProvincia,idmun,NombreMunicipio,idpersona,idsexo,Des_sexo,edad
2,La Paz,1,Murillo,2,Palca,8163122,1,Masculino,26
2,La Paz,1,Murillo,2,Palca,8820794,1,Masculino,21
2,La Paz,1,Murillo,2,Palca,9203281,2,Femenino,41
2,La Paz,1,Murillo,5,El Alto,914458,2,Femenino,41
2,La Paz,1,Murillo,5,El Alto,922264,1,Masculino,33
2,La Paz,1,Murillo,5,El Alto,926826,2,Femenino,29
2,La Paz,1,Murillo,5,El Alto,1578760,2,Femenino,34
2,La Paz,1,Murillo,5,El Alto,1634380,1,Masculino,33
2,La Paz,1,Murillo,5,El Alto,998122,2,Femenino,40
2,La Paz,1,Murillo,5,El Alto,1002423,1,Masculino,40
2,La Paz,1,Murillo,5,El Alto,1011951,2,Femenino,58
2,La Paz,1,Murillo,5,El Alto,1033282,2,Femenino,72
2,La Paz,1,Murillo,5,El Alto,1049251,2,Femenino,41
2,La Paz,1,Murillo,5,El Alto,1677525,1,Masculino,44
2,La Paz,1,Murillo,5,El Alto,2015517,2,Femenino,44
2,La Paz,1,Murillo,5,El Alto,2076917,2,Femenino,28
2,La Paz,1,Murillo,5,El Alto,2290294,2,Femenino,26
2,La Paz,1,Murillo,5,El Alto,2873876,2,Femenino,40
2,La Paz,1,Murillo,5,El Alto,2875216,1,Masculino,44
2,La Paz,1,Murillo,5,El Alto,8426903,1,Masculino,33
2,La Paz,1,Murillo,5,El Alto,109168,2,Femenino,31
2,La Paz,1,Murillo,5,El Alto,118885,2,Femenino,23
2,La Paz,1,Murillo,5,El Alto,210101,1,Masculino,23
2,La Paz,1,Murillo,5,El Alto,1240200,2,Femenino,34
2,La Paz,1,Murillo,5,El Alto,1242015,2,Femenino,36
2,La Paz,1,Murillo,5,El Alto,138048,1,Masculino,23
2,La Paz,1,Murillo,5,El Alto,172565,2,Femenino,24
2,La Paz,1,Murillo,5,El Alto,210069,1,Masculino,23
2,La Paz,1,Murillo,5,El Alto,1200685,2,Femenino,83
2,La Paz,1,Murillo,5,El Alto,1201192,2,Femenino,59
2,La Paz,1,Murillo,5,El Alto,1219594,1,Masculino,42
2,La Paz,1,Murillo,5,El Alto,1222334,2,Femenino,30
2,La Paz,1,Murillo,5,El Alto,1294541,2,Femenino,35
2,La Paz,1,Murillo,5,El Alto,1300300,1,Masculino,41
2,La Paz,1,Murillo,5,El Alto,2883622,1,Masculino,28
2,La Paz,1,Murillo,5,El Alto,1548612,2,Femenino,29
2,La Paz,1,Murillo,5,El Alto,2001670,2,Femenino,43
2,La Paz,1,Murillo,5,El Alto,2064017,1,Masculino,27
2,La Paz,1,Murillo,5,El Alto,2103518,1,Masculino,25
2,La Paz,1,Murillo,5,El Alto,2149642,2,Femenino,28
2,La Paz,1,Murillo,5,El Alto,2157759,1,Masculino,45
